nombre,tipo,ciudad,barrio,link,Precio,Área,Baños,Habitaciones,Entrega,Parqueaderos,Estudio,cuarto_util
Horizontes Territorio Campestre,Lotes,El Retiro,,https://www.informeinmobiliario.com/lotes-venta-el-retiro/proyecto/814,750000000.0,1886.0,No info,No info,No info,No info,No info,No info
Horizontes Territorio Campestre,Lotes,El Retiro,,https://www.informeinmobiliario.com/lotes-venta-el-retiro/proyecto/814,7500000000.0,8329.0,No info,No info,No info,No info,No info,No info
Terramonte,Suites,Llanogrande,,https://www.informeinmobiliario.com/suites-venta-llanogrande/proyecto/1443,739713000.0,71.0,2,1,2025,1,1,No info
Terramonte,Suites,Llanogrande,,https://www.informeinmobiliario.com/suites-venta-llanogrande/proyecto/1443,7397130000.0,97.0,3,2,2025,1,1,No info
Crista,Apartamentos,Medellín,Estadio,https://www.informeinmobiliario.com/apartamentos-venta-medellin-estadio/proyecto/1100,676508000.0,75.0,2,3,No info,1,No info,No info
Crista,Apartamentos,Medellín,Estadio,https://www.informeinmobiliario.com/apartamentos-venta-medellin-estadio/proyecto/1100,6765080000.0,84.0,2,3,No info,1,1,No info
Crista,Apartamentos,Medellín,Estadio,https://www.informeinmobiliario.com/apartamentos-venta-medellin-estadio/proyecto/1100,67650800000.0,88.0,3,3,No info,1,1,No info
Reserva Verdi,Aparta Suites,Rionegro,Llanogrande,https://www.informeinmobiliario.com/aparta-suites-venta-rionegro-llanogrande/proyecto/1015,943086783.0,94.0,3,2,No info,No info,No info,No info
Reserva Verdi,Aparta Suites,Rionegro,Llanogrande,https://www.informeinmobiliario.com/aparta-suites-venta-rionegro-llanogrande/proyecto/1015,9430867830.0,111.0,4,3,No info,No info,No info,No info
Reserva Verdi,Aparta Suites,Rionegro,Llanogrande,https://www.informeinmobiliario.com/aparta-suites-venta-rionegro-llanogrande/proyecto/1015,94308678300.0,139.0,5,3,No info,No info,1,No info
Reserva Verdi,Aparta Suites,Rionegro,Llanogrande,https://www.informeinmobiliario.com/aparta-suites-venta-rionegro-llanogrande/proyecto/1015,943086783000.0,173.0,5,3,2023,No info,1,No info
Selva Living & Natura,Lotes,Rionegro,V. Sajonia,https://www.informeinmobiliario.com/lotes-venta-rionegro-v-sajonia/proyecto/1464,900000000.0,1006.0,No info,No info,No info,No info,No info,No info
Tres Cantos,Apartamentos,Medellín,El Poblado,https://www.informeinmobiliario.com/apartamentos-venta-medellin-el-poblado/proyecto/180,893428000.0,75.0,2,2,2026,No info,No info,No info
Tres Cantos,Apartamentos,Medellín,El Poblado,https://www.informeinmobiliario.com/apartamentos-venta-medellin-el-poblado/proyecto/180,8934280000.0,83.0,3,2,2026,No info,No info,No info
Tres Cantos,Apartamentos,Medellín,El Poblado,https://www.informeinmobiliario.com/apartamentos-venta-medellin-el-poblado/proyecto/180,89342800000.0,91.0,2,3,2026,No info,1,No info
Tres Cantos,Apartamentos,Medellín,El Poblado,https://www.informeinmobiliario.com/apartamentos-venta-medellin-el-poblado/proyecto/180,893428000000.0,103.0,2,3,2026,No info,1,No info
Essenza,Lotes,Rionegro,V. El Tablazo,https://www.informeinmobiliario.com/lotes-venta-rionegro-v-el-tablazo/proyecto/869,900000000.0,2000.0,No info,No info,No info,No info,No info,No info
Amici,Apartamentos,Medellín,El Poblado,https://www.informeinmobiliario.com/apartamentos-venta-medellin-el-poblado/proyecto/1287,1247640466.0,110.0,3,2,2025,No info,1,No info
Contree Castropol,Apartamentos,Medellín,Castropol,https://www.informeinmobiliario.com/apartamentos-venta-medellin-castropol/proyecto/1124,1186000000.0,85.0,3,2,No info,1,No info,No info
Amici,Apartamentos,Medellín,El Poblado,https://www.informeinmobiliario.com/apartamentos-venta-medellin-el-poblado/proyecto/1287,12476404660.0,123.0,3,3,2025,No info,1,No info
Amici,Apartamentos,Medellín,El Poblado,https://www.informeinmobiliario.com/apartamentos-venta-medellin-el-poblado/proyecto/1287,124764046600.0,144.0,4,3,2025,No info,1,No info
Contree Castropol,Apartamentos,Medellín,Castropol,https://www.informeinmobiliario.com/apartamentos-venta-medellin-castropol/proyecto/1124,11860000000.0,109.0,4,3,No info,1,No info,No info
Contree Castropol,Apartamentos,Medellín,Castropol,https://www.informeinmobiliario.com/apartamentos-venta-medellin-castropol/proyecto/1124,118600000000.0,174.0,5,4,No info,1,1,No info
Aosta,Casas,El Retiro,Pantanillo,https://www.informeinmobiliario.com/casas-venta-el-retiro-pantanillo/proyecto/1444,1024000000.0,98.0,2,2,2026,1,No info,No info
Aosta,Casas,El Retiro,Pantanillo,https://www.informeinmobiliario.com/casas-venta-el-retiro-pantanillo/proyecto/1444,10240000000.0,125.0,3,2,2026,1,No info,No info
Mazanti,Apartamentos,Medellín,El Poblado,https://www.informeinmobiliario.com/apartamentos-venta-medellin-el-poblado/proyecto/679,999244000.0,104.0,3,2,2024,No info,1,No info
Mazanti,Apartamentos,Medellín,El Poblado,https://www.informeinmobiliario.com/apartamentos-venta-medellin-el-poblado/proyecto/679,9992440000.0,121.0,3,3,2024,No info,1,No info
Mazanti,Apartamentos,Medellín,El Poblado,https://www.informeinmobiliario.com/apartamentos-venta-medellin-el-poblado/proyecto/679,99924400000.0,138.0,4,3,2024,No info,1,No info
Mazanti,Apartamentos,Medellín,El Poblado,https://www.informeinmobiliario.com/apartamentos-venta-medellin-el-poblado/proyecto/679,999244000000.0,138.0,4,3,2024,No info,1,No info
Loira,Casas,Envigado,San Lucas,https://www.informeinmobiliario.com/casas-venta-envigado-san-lucas/proyecto/689,1533000000.0,167.0,5,4,No info,1,1,No info
Loira,Casas,Envigado,San Lucas,https://www.informeinmobiliario.com/casas-venta-envigado-san-lucas/proyecto/689,1563000000.0,172.0,5,4,No info,2,1,No info
